iso,year,gini
HND,1989,59.5
HND,1990,57.4
HND,1991,51.9
HND,1992,51.8
HND,1993,53.5
HND,1994,55
HND,1995,55.5
HND,1996,55.7
HND,1997,52.7
HND,1998,57.4
HND,1999,55.4
HND,2001,55.6
HND,2002,55.7
HND,2003,58.1
HND,2004,58.1
HND,2005,59.5
HND,2006,57.5
HND,2007,55.8
HND,2008,55.5
HND,2009,51.3
HND,2010,53.1
HND,2011,56.2
HND,2012,56.1
HND,2013,52.6
HND,2014,50.4
HND,2015,49.6
HND,2016,51.1
HND,2017,50.5
HND,2018,52.1
HRV,1988,22.8
HRV,2009,32.6
HRV,2010,32.4
HRV,2011,32.3
HRV,2012,32.5
HRV,2013,32
HRV,2014,32.1
HRV,2015,31.1
HRV,2016,30.9
HRV,2017,30.4
HTI,2012,41.1
HUN,1987,21
HUN,1989,25
HUN,1991,29.6
HUN,1993,27.9
HUN,1994,33.3
HUN,1999,30.2
HUN,2004,29.9
HUN,2005,34.7
HUN,2006,28.3
HUN,2007,27.9
HUN,2008,27.5
HUN,2009,27
HUN,2010,29.4
HUN,2011,29.2
HUN,2012,30.8
HUN,2013,31.5
HUN,2014,30.9
HUN,2015,30.4
HUN,2016,30.3
HUN,2017,30.6
IDN,1984,32.4
IDN,1987,30.6
IDN,1990,31.2
IDN,1993,32
IDN,1996,34.4
IDN,1998,31.1
IDN,1999,31
IDN,2000,30.2
IDN,2001,30.9
IDN,2002,33.8
IDN,2003,34
IDN,2004,34.8
IDN,2005,34.9
IDN,2006,36.1
IDN,2007,37.5
IDN,2008,36.8
IDN,2009,36.7
IDN,2010,37.9
IDN,2011,41.1
IDN,2012,41.1
IDN,2013,41.5
IDN,2014,40.8
IDN,2015,41
IDN,2016,39.9
IDN,2017,39.4
IDN,2018,39
IND,1983,32.1
IND,1987,32.6
IND,1993,32.7
IND,2004,36.8
IND,2009,37.5
IND,2011,37.8
IRL,1987,35.5
IRL,1994,36.9
IRL,1995,37
IRL,1996,35.6
IRL,2000,33
IRL,2003,32.9
IRL,2004,33.6
IRL,2005,33.8
IRL,2006,32.7
IRL,2007,31.9
IRL,2008,30.9
IRL,2009,32.7
IRL,2010,32.3
IRL,2011,32.9
IRL,2012,33.2
IRL,2013,33.5
IRL,2014,31.9
IRL,2015,31.8
IRL,2016,32.8
IRN,1986,47.4
IRN,1990,43.6
IRN,1994,43
IRN,1998,44.1
IRN,2005,43.6
IRN,2006,44.8
IRN,2009,42
IRN,2013,37.4
IRN,2014,38.8
IRN,2015,39.5
IRN,2016,40
IRN,2017,40.8
IRQ,2006,28.6
IRQ,2012,29.5
ISL,2003,26.8
ISL,2004,28
ISL,2005,29
ISL,2006,30.2
ISL,2007,29.5
ISL,2008,31.8
ISL,2009,28.7
ISL,2010,26.2
ISL,2011,26.8
ISL,2012,26.8
ISL,2013,25.4
ISL,2014,27.8
ISL,2015,26.8
ISR,1979,36.3
ISR,1986,36.5
ISR,1992,35.5
ISR,1997,38.1
ISR,2001,38.9
ISR,2005,41.8
ISR,2007,41.1
ISR,2010,42.5
ISR,2012,41.3
ISR,2014,39.8
ISR,2016,39
ITA,1986,32.5
ITA,1987,34.5
ITA,1989,32.6
ITA,1991,31.5
ITA,1993,35.5
ITA,1995,35.2
ITA,1998,36.7
ITA,2000,35.3
ITA,2003,34.9
ITA,2004,34.3
ITA,2005,33.8
ITA,2006,33.7
ITA,2007,32.9
ITA,2008,33.8
ITA,2009,33.8
ITA,2010,34.7
ITA,2011,35.1
ITA,2012,35.2
ITA,2013,34.9
ITA,2014,34.7
ITA,2015,35.4
ITA,2016,35.2
ITA,2017,35.9
JAM,1988,43.2
JAM,1990,41.1
JAM,1993,35.7
JAM,1996,40.4
JAM,1999,44.1
JAM,2002,48.3
JAM,2004,45.5
JOR,1986,36.1
JOR,1992,43.4
JOR,1997,36.4
JOR,2002,37
JOR,2006,33.9
JOR,2008,32.6
JOR,2010,33.7
JPN,2008,34.8
JPN,2010,32.1
JPN,2013,32.9
KAZ,1996,35.4
KAZ,2001,36
KAZ,2002,34.8
KAZ,2003,33.7
KAZ,2004,31.8
KAZ,2005,39.8
KAZ,2006,30.2
KAZ,2007,30.1
KAZ,2008,28.5
KAZ,2009,28.2
KAZ,2010,28
KAZ,2011,28
KAZ,2012,28.2
KAZ,2013,27.1
KAZ,2014,27
KAZ,2015,26.8
KAZ,2016,27.2
KAZ,2017,27.5
KEN,1992,57.5
KEN,1994,43.1
KEN,1997,45
KEN,2005,46.5
KEN,2015,40.8
KGZ,1998,46.4
KGZ,2000,31
KGZ,2001,30.2
KGZ,2002,30.3
KGZ,2003,28.7
KGZ,2004,34.8
KGZ,2005,32.6
KGZ,2006,37.4
KGZ,2007,33.9
KGZ,2008,31.5
KGZ,2009,29.9
KGZ,2010,30.1
KGZ,2011,27.8
KGZ,2012,27.4
KGZ,2013,28.8
KGZ,2014,26.8
KGZ,2015,29
KGZ,2016,26.8
KGZ,2017,27.3
KGZ,2018,27.7
KIR,2006,37
KOR,2006,31.7
KOR,2008,32.3
KOR,2010,32
KOR,2012,31.6
LAO,1992,34.3
LAO,1997,34.9
LAO,2002,32.6
LAO,2007,35.4
LAO,2012,36.4
LBN,2011,31.8
LBR,2007,36.5
LBR,2014,33.2
LBR,2016,35.3
LCA,1995,42.6
LCA,2016,51.2
LKA,1985,32.5
LKA,1990,32.4
LKA,1995,35.4
LKA,2002,41
LKA,2006,40.3
LKA,2009,36.4
LKA,2012,39.2
LKA,2016,39.8
LSO,1986,56
LSO,1994,63.2
LSO,2002,51.6
LSO,2017,44.9
LTU,1993,33.6
LTU,2004,37
LTU,2005,35.3
LTU,2006,34.4
LTU,2007,34.8
LTU,2008,35.7
LTU,2009,37.2
LTU,2010,33.6
LTU,2011,32.5
LTU,2012,35.1
LTU,2013,35.3
LTU,2014,37.7
LTU,2015,37.4
LTU,2016,38.4
LTU,2017,37.3
LUX,1985,26.7
LUX,1991,26.8
LUX,1994,26.9
LUX,1997,30.2
LUX,2000,30.4
LUX,2003,30.2
LUX,2004,30.2
LUX,2005,30.8
LUX,2006,30.9
LUX,2007,31.1
LUX,2008,32.6
LUX,2009,31.2
LUX,2010,30.5
LUX,2011,32.1
LUX,2012,34.3
LUX,2013,32
LUX,2014,31.2
LUX,2015,33.8
LUX,2016,33
LUX,2017,34.9
LVA,1993,27
LVA,1995,31
LVA,1996,31.6
LVA,2004,36.4
LVA,2005,39
LVA,2006,35.6
LVA,2007,37.5
LVA,2008,37.2
LVA,2009,36
LVA,2010,35
LVA,2011,35.8
LVA,2012,35.2
LVA,2013,35.5
LVA,2014,35.1
LVA,2015,34.2
LVA,2016,34.3
LVA,2017,35.6
MAR,1984,39.2
MAR,1990,39.2
MAR,1998,39.5
MAR,2000,40.6
MAR,2006,40.7
MAR,2013,39.5
MDA,1997,36.9
MDA,1998,39.5
MDA,1999,42.6
MDA,2000,36.4
MDA,2001,38
MDA,2002,35.8
MDA,2003,34.9
MDA,2004,35
MDA,2005,36.3
MDA,2006,35.4
MDA,2007,34.4
MDA,2008,34.7
MDA,2009,32.9
MDA,2010,32.1
MDA,2011,30.6
MDA,2012,29.2
MDA,2013,28.5
MDA,2014,26.8
MDA,2015,27
MDA,2016,26.3
MDA,2017,25.9
MDA,2018,25.7
MDG,1980,46.8
MDG,1993,45.3
MDG,1997,39.5
MDG,1999,38.6
MDG,2001,47.4
MDG,2005,39.9
MDG,2010,42.4
MDG,2012,42.6
MDV,2002,41.3
MDV,2009,38.4
MDV,2016,31.3
MEX,1989,54.3
MEX,1992,53.7
MEX,1994,54.3
MEX,1996,54.8
MEX,1998,53.4
MEX,2000,52.6
MEX,2002,50.1
MEX,2004,50
MEX,2005,50.1
MEX,2006,48.9
MEX,2008,49.9
MEX,2010,47.2
MEX,2012,48.7
MEX,2014,48.7
MEX,2016,46.3
MEX,2018,45.4
MKD,2009,42.8
MKD,2010,40.2
MKD,2011,39.4
MKD,2012,38.1
MKD,2013,36.2
MKD,2014,35.2
MKD,2015,35.6
MKD,2016,34.5
MKD,2017,34.2
MLI,1994,50.4
MLI,2001,39.9
MLI,2006,38.9
MLI,2009,33
MLT,2006,28
MLT,2007,29.2
MLT,2008,29
MLT,2009,30.2
MLT,2010,29
MLT,2011,29.1
MLT,2012,29.4
MLT,2013,28.8
MLT,2014,29
MLT,2015,29.4
MLT,2016,29.1
MLT,2017,29.2
MMR,2015,38.1
MMR,2017,30.7
MNE,2012,41.2
MNE,2013,39
MNE,2014,38.8
MNE,2015,39
MNG,1995,33.2
MNG,1998,30.3
MNG,2002,32.9
MNG,2007,35.8
MNG,2010,33.1
MNG,2011,33.9
MNG,2012,33.8
MNG,2014,32
MNG,2016,32.3
MNG,2018,32.7
MOZ,1996,53.6
MOZ,2002,47
MOZ,2008,45.6
MOZ,2014,54
MRT,1987,43.9
MRT,1993,50.1
MRT,1995,37.7
MRT,2000,39
MRT,2004,40.2
MRT,2008,35.7
MRT,2014,32.6
MUS,2006,35.7
MUS,2012,38.5
MUS,2017,36.8
MWI,1997,65.8
MWI,2004,39.9
MWI,2010,45.5
MWI,2016,44.7
MYS,1984,48.6
MYS,1987,47
MYS,1989,46.2
MYS,1992,47.7
MYS,1995,48.5
MYS,1997,49.1
MYS,2004,46.1
MYS,2007,46.1
MYS,2008,45.5
MYS,2011,43.9
MYS,2013,41.3
MYS,2015,41
NAM,2003,63.3
NAM,2009,61
NAM,2015,59.1
NER,1992,36.1
NER,1994,41.5
NER,2005,44.4
NER,2007,37.3
NER,2011,31.5
NER,2014,34.3
NGA,1985,38.7
NGA,1992,45
NGA,1996,51.9
NGA,2003,40.1
NGA,2009,43
NIC,1993,57.4
NIC,1998,54.4
NIC,2001,52.9
NIC,2005,48.8
NIC,2009,43.9
NIC,2014,46.2
NLD,1983,28.4
NLD,1987,26.8
NLD,1990,31.1
NLD,1993,30.4
NLD,1999,28.1
NLD,2004,29.8
NLD,2005,29
NLD,2006,30
NLD,2007,29.6
NLD,2008,29.3
NLD,2009,27.9
NLD,2010,27.8
NLD,2011,27.8
NLD,2012,27.6
NLD,2013,28.1
NLD,2014,28.6
NLD,2015,28.2
NLD,2016,28.2
NLD,2017,28.5
NOR,1979,26.9
NOR,1986,24.6
NOR,1991,25.2
NOR,1995,26
NOR,2000,27.4
NOR,2003,27.6
NOR,2004,31.6
NOR,2005,30.6
NOR,2006,26.4
NOR,2007,27.1
NOR,2008,27
NOR,2009,26.2
NOR,2010,25.7
NOR,2011,25.3
NOR,2012,25.7
NOR,2013,26.4
NOR,2014,26.8
NOR,2015,27.5
NOR,2016,28.5
NOR,2017,27
NPL,1995,35.2
NPL,2003,43.8
NPL,2010,32.8
PAK,1987,33.3
PAK,1990,33.2
PAK,1996,28.7
PAK,1998,33.1
PAK,2001,30.4
PAK,2004,32.5
PAK,2005,32.7
PAK,2007,31.6
PAK,2010,29.8
PAK,2011,30.9
PAK,2013,30.7
PAK,2015,33.5
PAN,1979,48.7
PAN,1989,58.9
PAN,1991,58.2
PAN,1995,57.8
PAN,1997,58.2
PAN,1998,57.5
PAN,1999,56.5
PAN,2000,56.8
PAN,2001,56.9
PAN,2002,56.2
PAN,2003,55.8
PAN,2004,54.8
PAN,2005,53.8
PAN,2006,54.6
PAN,2007,52.7
PAN,2008,52.7
PAN,2009,51.8
PAN,2010,51.6
PAN,2011,51.3
PAN,2012,51.7
PAN,2013,51.5
PAN,2014,50.5
PAN,2015,50.8
PAN,2016,50.4
PAN,2017,49.9
PAN,2018,49.2
PER,1997,53.7
PER,1998,56.1
PER,1999,56.3
PER,2000,49.1
PER,2001,51.3
PER,2002,53.6
PER,2003,53.1
PER,2004,49.9
PER,2005,50.4
PER,2006,50.3
PER,2007,50
PER,2008,47.5
PER,2009,47
PER,2010,45.5
PER,2011,44.7
PER,2012,44.4
PER,2013,43.9
PER,2014,43.2
PER,2015,43.4
PER,2016,43.6
PER,2017,43.3
PER,2018,42.8
PHL,2000,47.7
PHL,2003,46.6
PHL,2006,47.2
PHL,2009,46.3
PHL,2012,46.5
PHL,2015,44.4
PNG,1996,45.8
PNG,2009,41.9
POL,1985,25.2
POL,1986,28
POL,1987,25.5
POL,1989,26.9
POL,1992,29.3
POL,1995,34.6
POL,1999,32.1
POL,2004,38
POL,2005,35.8
POL,2006,34.7
POL,2007,34
POL,2008,33.5
POL,2009,33.4
POL,2010,33.2
POL,2011,33.2
POL,2012,33
POL,2013,33.1
POL,2014,32.8
POL,2015,31.8
POL,2016,31.2
POL,2017,29.7
PRT,2003,38.7
PRT,2004,38.9
PRT,2005,38.5
PRT,2006,38.1
PRT,2007,36.8
PRT,2008,36.6
PRT,2009,34.9
PRT,2010,35.8
PRT,2011,36.3
PRT,2012,36
PRT,2013,36.2
PRT,2014,35.6
PRT,2015,35.5
PRT,2016,35.2
PRT,2017,33.8
PRY,1990,40.8
PRY,1995,58.2
PRY,1997,54.9
PRY,1999,54.6
PRY,2001,54.6
PRY,2002,57.3
PRY,2003,54.9
PRY,2004,52.3
PRY,2005,51.4
PRY,2006,53
PRY,2007,53
PRY,2008,50.7
PRY,2009,49.1
PRY,2010,51
