iso,year,animal_em,drought_em,earthquake_em,epidemic_em,extremetemp_em,flood_em,fog_em,impact_em,insect_em,landslide_em,massmove_em,storm_em,volcano_em,wildfire_em,totaldeaths,totaldisasters,totaldamage
TUV,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
